epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,9174.67,0.9799,0.71746,1.06695,0.91397,0.8711,0.94687,0.7434,0.8119,0.55841,1.00518,0.000543837,0.000543837,0.000543837
97,9264.39,0.97194,0.70625,1.06289,0.90987,0.87686,0.94601,0.74378,0.80936,0.55903,1.00307,0.000536081,0.000536081,0.000536081
98,9320.18,0.9773,0.71502,1.06764,0.90979,0.87247,0.9461,0.74409,0.80925,0.55827,1.00283,0.000528318,0.000528318,0.000528318
99,9390.64,0.96759,0.70606,1.05944,0.91064,0.87513,0.94577,0.74413,0.80764,0.55622,1.00167,0.000520548,0.000520548,0.000520548
100,9464.47,0.97085,0.7067,1.06091,0.91567,0.87099,0.94674,0.74476,0.8069,0.55316,1.00097,0.000512775,0.000512775,0.000512775
101,9571.71,0.96897,0.70998,1.06134,0.91312,0.87429,0.94809,0.7459,0.808,0.55126,1.00097,0.000505,0.000505,0.000505
102,9657.54,0.9641,0.70691,1.05956,0.92227,0.8662,0.94809,0.74685,0.80246,0.54982,0.99917,0.000497225,0.000497225,0.000497225
103,9731.71,0.96092,0.70163,1.06018,0.91867,0.87198,0.94912,0.7481,0.80251,0.55077,0.9985,0.000489452,0.000489452,0.000489452
104,9827.54,0.97271,0.71439,1.06418,0.92298,0.87023,0.94918,0.74842,0.80106,0.55195,0.99849,0.000481682,0.000481682,0.000481682
105,59.8376,0.95577,0.69792,1.05588,0.92032,0.86986,0.94924,0.74884,0.80039,0.5495,0.9981,0.000473919,0.000473919,0.000473919
106,90.0215,0.95406,0.69143,1.05382,0.91382,0.8765,0.94931,0.7494,0.7988,0.5477,0.99658,0.000466163,0.000466163,0.000466163
107,120.978,0.95933,0.7027,1.06058,0.92743,0.86445,0.94898,0.74921,0.79773,0.54757,0.99657,0.000458416,0.000458416,0.000458416
108,193.516,0.95132,0.69482,1.05257,0.91582,0.87706,0.94822,0.74991,0.79488,0.54657,0.9952,0.000450682,0.000450682,0.000450682
109,267.863,0.95652,0.69963,1.057,0.92289,0.86991,0.94886,0.74941,0.79431,0.54598,0.99454,0.00044296,0.00044296,0.00044296
110,343.121,0.95605,0.69618,1.05471,0.91625,0.87369,0.94883,0.74968,0.79475,0.54666,0.99475,0.000435254,0.000435254,0.000435254
111,415.282,0.95175,0.69118,1.05175,0.92694,0.86429,0.94907,0.75037,0.79377,0.54483,0.99391,0.000427565,0.000427565,0.000427565
112,489.642,0.95104,0.69678,1.05565,0.92315,0.86953,0.94964,0.7522,0.79187,0.54478,0.99333,0.000419895,0.000419895,0.000419895
113,538.81,0.94923,0.69552,1.05428,0.92596,0.86795,0.95029,0.75242,0.79091,0.54293,0.99249,0.000412246,0.000412246,0.000412246
114,588.925,0.94319,0.68626,1.04957,0.92749,0.86696,0.95033,0.7539,0.7896,0.54257,0.99233,0.00040462,0.00040462,0.00040462
115,662.632,0.94647,0.68679,1.05048,0.92981,0.86541,0.95106,0.75443,0.78742,0.54178,0.9914,0.000397019,0.000397019,0.000397019
116,736.939,0.94799,0.68744,1.04977,0.921,0.8738,0.95183,0.7549,0.78605,0.54079,0.99021,0.000389445,0.000389445,0.000389445
117,811.151,0.94475,0.68545,1.04814,0.91952,0.87439,0.95163,0.75446,0.78454,0.5396,0.98948,0.000381899,0.000381899,0.000381899
118,884.658,0.93797,0.67982,1.04265,0.92161,0.87512,0.95167,0.75484,0.78423,0.53914,0.98863,0.000374383,0.000374383,0.000374383
119,957.007,0.93707,0.67736,1.04433,0.92129,0.87529,0.95165,0.75534,0.78306,0.53745,0.98759,0.000366899,0.000366899,0.000366899
120,1002.44,0.93175,0.67361,1.0413,0.91826,0.87793,0.95204,0.75521,0.78291,0.53617,0.9873,0.00035945,0.00035945,0.00035945
121,1060,0.93315,0.67686,1.04151,0.92444,0.87421,0.95259,0.75599,0.78223,0.53421,0.98715,0.000352037,0.000352037,0.000352037
122,1133.78,0.93243,0.6761,1.04145,0.93102,0.8676,0.95257,0.75638,0.7809,0.53416,0.98641,0.000344661,0.000344661,0.000344661
123,1207.54,0.93097,0.67763,1.04295,0.93133,0.86953,0.95214,0.75685,0.77982,0.53447,0.98597,0.000337325,0.000337325,0.000337325
124,1281.09,0.93218,0.67544,1.04341,0.9284,0.8704,0.95209,0.75697,0.77926,0.53369,0.98535,0.00033003,0.00033003,0.00033003
125,1355.15,0.93102,0.67697,1.04337,0.93024,0.87128,0.95217,0.75759,0.77887,0.53269,0.98544,0.000322778,0.000322778,0.000322778
126,1421.19,0.9344,0.68025,1.04508,0.92843,0.87238,0.95238,0.75787,0.77842,0.53197,0.98539,0.000315572,0.000315572,0.000315572
127,1466.54,0.92658,0.67096,1.04296,0.9283,0.87443,0.95256,0.75866,0.77795,0.53171,0.98555,0.000308412,0.000308412,0.000308412
128,1530.53,0.92574,0.66991,1.04147,0.92692,0.87478,0.95263,0.75884,0.77736,0.53123,0.98523,0.0003013,0.0003013,0.0003013
129,1604.05,0.92667,0.67314,1.04066,0.93074,0.87318,0.95186,0.75966,0.77687,0.53059,0.98503,0.000294239,0.000294239,0.000294239
130,1677.78,0.92688,0.67397,1.04291,0.92489,0.87741,0.95201,0.75965,0.77539,0.52977,0.98405,0.00028723,0.00028723,0.00028723
131,1751.61,0.92872,0.67141,1.04008,0.92427,0.87898,0.95273,0.76011,0.77453,0.52951,0.98357,0.000280275,0.000280275,0.000280275
132,1825.48,0.92338,0.66761,1.03808,0.92585,0.87902,0.95297,0.76079,0.77416,0.52865,0.98324,0.000273375,0.000273375,0.000273375
133,1885.07,0.91747,0.66276,1.03377,0.92432,0.88179,0.95345,0.76179,0.77352,0.52851,0.98318,0.000266532,0.000266532,0.000266532
134,1930.91,0.91766,0.66448,1.03607,0.92257,0.88406,0.95359,0.76179,0.77279,0.52802,0.98276,0.000259748,0.000259748,0.000259748
135,2001.57,0.91603,0.66109,1.03635,0.92368,0.88319,0.95344,0.76159,0.77229,0.52722,0.98273,0.000253024,0.000253024,0.000253024
136,2075.33,0.91219,0.65865,1.03418,0.92678,0.88,0.95339,0.76154,0.77142,0.52683,0.98246,0.000246363,0.000246363,0.000246363
137,2147.85,0.91615,0.66507,1.03662,0.92471,0.88231,0.95339,0.76193,0.77067,0.52615,0.98208,0.000239766,0.000239766,0.000239766
138,2221.52,0.91617,0.66183,1.03321,0.92441,0.88301,0.95408,0.76198,0.77038,0.52581,0.98194,0.000233234,0.000233234,0.000233234
139,2295.5,0.91346,0.66068,1.03306,0.92283,0.88231,0.95411,0.76257,0.76984,0.52512,0.98167,0.000226769,0.000226769,0.000226769
140,2348.7,0.91065,0.65505,1.03182,0.92525,0.87986,0.95438,0.76301,0.76948,0.52471,0.98149,0.000220372,0.000220372,0.000220372
141,2394.92,0.91033,0.66131,1.0339,0.92594,0.88019,0.95445,0.76377,0.7686,0.52431,0.98133,0.000214046,0.000214046,0.000214046
142,2468.62,0.91135,0.65992,1.03479,0.92549,0.88095,0.95425,0.76337,0.76815,0.52388,0.98127,0.000207792,0.000207792,0.000207792
143,2541.25,0.91025,0.65731,1.03264,0.92951,0.87754,0.95456,0.76385,0.76707,0.52341,0.9807,0.000201611,0.000201611,0.000201611
144,2615.71,0.90005,0.64889,1.02598,0.92893,0.87905,0.95467,0.76384,0.76698,0.52335,0.98066,0.000195505,0.000195505,0.000195505
145,2689.79,0.90224,0.65296,1.03054,0.92741,0.88109,0.95473,0.76444,0.76662,0.52343,0.98069,0.000189475,0.000189475,0.000189475
146,2763.83,0.90154,0.65204,1.0296,0.92532,0.8832,0.95465,0.76398,0.76641,0.52287,0.98054,0.000183523,0.000183523,0.000183523
147,2812.5,0.90351,0.65316,1.02952,0.92582,0.88522,0.95485,0.76366,0.76651,0.52283,0.98055,0.000177651,0.000177651,0.000177651
148,2863.59,0.90581,0.65571,1.03093,0.92515,0.88533,0.95484,0.76428,0.7659,0.52207,0.98015,0.000171859,0.000171859,0.000171859
149,2937.77,0.90583,0.65584,1.0315,0.92318,0.88634,0.9546,0.76407,0.7656,0.52168,0.97992,0.000166149,0.000166149,0.000166149
150,3011.93,0.91239,0.66237,1.03379,0.92384,0.88669,0.95453,0.76448,0.76549,0.52106,0.97973,0.000160523,0.000160523,0.000160523
